insert into Posts (idPost, idUsuario, created_at, updated_at) values (1, 127, '2024-06-04', '2019-12-09');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (2, 30, '2019-11-14', '2022-01-04');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (3, 150, '2021-07-09', '2021-07-20');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (4, 30, '2021-05-10', '2023-06-24');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (5, 17, '2023-08-12', '2020-04-29');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (6, 102, '2024-05-09', '2023-09-07');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (7, 47, '2021-01-25', '2024-04-17');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (8, 145, '2020-07-19', '2021-02-09');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (9, 96, '2023-04-13', '2019-07-16');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (10, 41, '2021-07-16', '2020-02-18');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (11, 89, '2020-07-18', '2022-09-01');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (12, 53, '2022-11-17', '2022-01-14');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (13, 40, '2023-04-10', '2021-04-18');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (14, 169, '2019-02-24', '2021-07-29');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (15, 80, '2024-03-04', '2019-09-18');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (16, 138, '2023-09-25', '2020-08-25');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (17, 124, '2021-10-30', '2024-09-01');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (18, 159, '2020-04-08', '2022-11-14');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (19, 107, '2024-06-27', '2021-03-20');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (20, 140, '2021-12-02', '2023-06-16');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (21, 182, '2019-11-26', '2021-04-17');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (22, 172, '2023-09-25', '2021-04-23');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (23, 195, '2024-02-23', '2020-07-31');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (24, 95, '2024-08-17', '2021-04-03');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (25, 198, '2024-11-24', '2024-11-25');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (26, 144, '2019-02-03', '2021-02-27');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (27, 99, '2024-04-17', '2024-01-01');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (28, 175, '2022-05-31', '2021-06-18');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (29, 79, '2020-08-20', '2021-11-01');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (30, 118, '2019-01-19', '2023-01-09');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (31, 27, '2019-10-29', '2024-11-02');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (32, 7, '2022-12-06', '2022-10-23');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (33, 56, '2023-08-29', '2020-07-17');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (34, 188, '2022-05-18', '2024-01-18');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (35, 159, '2022-10-24', '2021-12-28');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (36, 33, '2019-11-16', '2024-03-16');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (37, 141, '2024-11-15', '2022-08-05');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (38, 45, '2023-07-19', '2020-05-19');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (39, 15, '2020-11-20', '2022-04-08');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (40, 85, '2022-09-04', '2019-09-06');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (41, 184, '2023-01-08', '2024-10-14');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (42, 138, '2019-04-08', '2022-04-14');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (43, 134, '2020-01-05', '2021-08-10');
insert into Posts (idPost, idUsuario, created_at, updated_at) values (44, 40, '2022-05-07', '2022-01-18');
